Reading,Receive,Value,Unit,Data Quality
12/30/2019 0:38,12/30/2019 0:38,0.22,ft,A
12/30/2019 0:08,12/30/2019 0:08,0.28,ft,A
12/29/2019 23:38,12/29/2019 23:38,0.33,ft,A
12/29/2019 23:08,12/29/2019 23:08,0.32,ft,A
12/29/2019 22:38,12/29/2019 22:38,0.39,ft,A
12/29/2019 22:08,12/29/2019 22:08,0.39,ft,A
12/29/2019 21:38,12/29/2019 21:38,0.37,ft,A
12/29/2019 21:08,12/29/2019 21:08,0.4,ft,A
12/29/2019 20:38,12/29/2019 20:38,0.41,ft,A
12/29/2019 20:08,12/29/2019 20:08,0.43,ft,A
12/29/2019 19:38,12/29/2019 19:38,0.39,ft,A
12/29/2019 19:08,12/29/2019 19:08,0.4,ft,A
12/29/2019 18:38,12/29/2019 18:38,0.37,ft,A
12/29/2019 18:08,12/29/2019 18:08,0.36,ft,A
12/29/2019 17:38,12/29/2019 17:38,0.31,ft,A
12/29/2019 17:08,12/29/2019 17:08,0.31,ft,A
12/29/2019 16:38,12/29/2019 16:38,0.3,ft,A
12/29/2019 16:08,12/29/2019 16:08,0.31,ft,A
12/29/2019 15:38,12/29/2019 15:38,0.26,ft,A
12/29/2019 15:08,12/29/2019 15:08,0.24,ft,A
12/29/2019 14:38,12/29/2019 14:38,0.23,ft,A
12/29/2019 14:08,12/29/2019 14:08,0.24,ft,A
12/29/2019 13:38,12/29/2019 13:38,0.2,ft,A
12/29/2019 13:08,12/29/2019 13:08,0.17,ft,A
12/29/2019 12:38,12/29/2019 12:38,0.2,ft,A
12/29/2019 12:08,12/29/2019 12:08,0.18,ft,A
12/29/2019 11:38,12/29/2019 11:38,0.15,ft,A
12/29/2019 11:08,12/29/2019 11:08,0.2,ft,A
12/29/2019 10:38,12/29/2019 10:38,0.21,ft,A
12/29/2019 10:08,12/29/2019 10:08,0.2,ft,A
12/29/2019 9:38,12/29/2019 9:38,0.26,ft,A
12/29/2019 9:08,12/29/2019 9:08,0.26,ft,A
12/29/2019 8:38,12/29/2019 8:38,0.3,ft,A
12/29/2019 8:08,12/29/2019 8:08,0.29,ft,A
12/29/2019 7:38,12/29/2019 7:38,0.32,ft,A
12/29/2019 7:08,12/29/2019 7:08,0.31,ft,A
12/29/2019 6:38,12/29/2019 6:38,0.31,ft,A
12/29/2019 6:08,12/29/2019 6:08,0.28,ft,A
12/29/2019 5:38,12/29/2019 5:38,0.3,ft,A
12/29/2019 5:08,12/29/2019 5:08,0.28,ft,A
12/29/2019 4:38,12/29/2019 4:38,0.29,ft,A
12/29/2019 4:08,12/29/2019 4:08,0.3,ft,A
12/29/2019 3:38,12/29/2019 3:38,0.25,ft,A
12/29/2019 3:08,12/29/2019 3:08,0.24,ft,A
12/29/2019 2:38,12/29/2019 2:38,0.21,ft,A
12/29/2019 2:08,12/29/2019 2:08,0.22,ft,A
12/29/2019 1:38,12/29/2019 1:38,0.22,ft,A
12/29/2019 1:08,12/29/2019 1:08,0.18,ft,A
12/29/2019 0:38,12/29/2019 0:38,0.2,ft,A
12/29/2019 0:08,12/29/2019 0:08,0.18,ft,A
12/28/2019 23:38,12/28/2019 23:38,0.19,ft,A
12/28/2019 23:08,12/28/2019 23:08,0.21,ft,A
12/28/2019 22:38,12/28/2019 22:38,0.21,ft,A
12/28/2019 22:08,12/28/2019 22:08,0.25,ft,A
12/28/2019 21:38,12/28/2019 21:38,0.28,ft,A
12/28/2019 21:08,12/28/2019 21:08,0.3,ft,A
12/28/2019 20:38,12/28/2019 20:38,0.31,ft,A
12/28/2019 20:08,12/28/2019 20:08,0.33,ft,A
12/28/2019 19:38,12/28/2019 19:38,0.32,ft,A
12/28/2019 19:08,12/28/2019 19:08,0.33,ft,A
12/28/2019 18:38,12/28/2019 18:38,0.32,ft,A
12/28/2019 18:08,12/28/2019 18:08,0.32,ft,A
12/28/2019 17:38,12/28/2019 17:38,0.32,ft,A
12/28/2019 17:08,12/28/2019 17:08,0.32,ft,A
12/28/2019 16:38,12/28/2019 16:38,0.31,ft,A
12/28/2019 16:08,12/28/2019 16:08,0.28,ft,A
12/28/2019 15:38,12/28/2019 15:38,0.29,ft,A
12/28/2019 15:08,12/28/2019 15:08,0.28,ft,A
12/28/2019 14:38,12/28/2019 14:38,0.25,ft,A
12/28/2019 14:08,12/28/2019 14:08,0.26,ft,A
12/28/2019 13:38,12/28/2019 13:38,0.21,ft,A
12/28/2019 13:08,12/28/2019 13:08,0.22,ft,A
12/28/2019 12:38,12/28/2019 12:38,0.23,ft,A
12/28/2019 12:08,12/28/2019 12:08,0.21,ft,A
12/28/2019 11:38,12/28/2019 11:38,0.17,ft,A
12/28/2019 11:08,12/28/2019 11:08,0.18,ft,A
12/28/2019 10:38,12/28/2019 10:38,0.21,ft,A
12/28/2019 10:08,12/28/2019 10:08,0.19,ft,A
12/28/2019 9:38,12/28/2019 9:38,0.25,ft,A
12/28/2019 9:08,12/28/2019 9:08,0.24,ft,A
12/28/2019 8:38,12/28/2019 8:38,0.27,ft,A
12/28/2019 8:08,12/28/2019 8:08,0.29,ft,A
12/28/2019 7:38,12/28/2019 7:38,0.31,ft,A
12/28/2019 7:08,12/28/2019 7:08,0.32,ft,A
12/28/2019 6:38,12/28/2019 6:38,0.33,ft,A
12/28/2019 6:08,12/28/2019 6:08,0.35,ft,A
12/28/2019 5:38,12/28/2019 5:38,0.29,ft,A
12/28/2019 5:08,12/28/2019 5:08,0.34,ft,A
12/28/2019 4:38,12/28/2019 4:38,0.31,ft,A
12/28/2019 4:08,12/28/2019 4:08,0.34,ft,A
12/28/2019 3:38,12/28/2019 3:38,0.33,ft,A
12/28/2019 3:08,12/28/2019 3:08,0.3,ft,A
12/28/2019 2:38,12/28/2019 2:38,0.26,ft,A
12/28/2019 2:08,12/28/2019 2:08,0.29,ft,A
12/28/2019 1:38,12/28/2019 1:38,0.25,ft,A
12/28/2019 1:08,12/28/2019 1:08,0.23,ft,A
12/28/2019 0:38,12/28/2019 0:38,0.24,ft,A
12/28/2019 0:08,12/28/2019 0:08,0.22,ft,A
12/27/2019 23:38,12/27/2019 23:38,0.17,ft,A
12/27/2019 23:08,12/27/2019 23:08,0.22,ft,A
12/27/2019 22:38,12/27/2019 22:38,0.21,ft,A
12/27/2019 22:08,12/27/2019 22:08,0.2,ft,A
12/27/2019 21:38,12/27/2019 21:38,0.23,ft,A
12/27/2019 21:08,12/27/2019 21:08,0.22,ft,A
12/27/2019 20:38,12/27/2019 20:38,0.23,ft,A
12/27/2019 20:08,12/27/2019 20:08,0.25,ft,A
12/27/2019 19:38,12/27/2019 19:38,0.25,ft,A
12/27/2019 19:08,12/27/2019 19:08,0.27,ft,A
12/27/2019 18:38,12/27/2019 18:38,0.26,ft,A
12/27/2019 18:08,12/27/2019 18:08,0.27,ft,A
12/27/2019 17:38,12/27/2019 17:38,0.28,ft,A
12/27/2019 17:08,12/27/2019 17:08,0.26,ft,A
12/27/2019 16:38,12/27/2019 16:38,0.26,ft,A
12/27/2019 16:08,12/27/2019 16:08,0.26,ft,A
12/27/2019 15:38,12/27/2019 15:38,0.28,ft,A
12/27/2019 15:08,12/27/2019 15:08,0.23,ft,A
12/27/2019 14:38,12/27/2019 14:38,0.22,ft,A
12/27/2019 14:08,12/27/2019 14:08,0.2,ft,A
12/27/2019 13:38,12/27/2019 13:38,0.2,ft,A
12/27/2019 13:08,12/27/2019 13:08,0.19,ft,A
12/27/2019 12:38,12/27/2019 12:38,0.21,ft,A
12/27/2019 12:08,12/27/2019 12:08,0.21,ft,A
12/27/2019 11:38,12/27/2019 11:38,0.16,ft,A
12/27/2019 11:08,12/27/2019 11:08,0.16,ft,A
12/27/2019 10:38,12/27/2019 10:38,0.17,ft,A
12/27/2019 10:08,12/27/2019 10:08,0.12,ft,A
12/27/2019 9:38,12/27/2019 9:38,0.15,ft,A
12/27/2019 9:08,12/27/2019 9:08,0.16,ft,A
12/27/2019 8:38,12/27/2019 8:38,0.17,ft,A
12/27/2019 8:08,12/27/2019 8:08,0.23,ft,A
12/27/2019 7:38,12/27/2019 7:38,0.2,ft,A
12/27/2019 7:08,12/27/2019 7:08,0.19,ft,A
12/27/2019 6:38,12/27/2019 6:38,0.24,ft,A
12/27/2019 6:08,12/27/2019 6:08,0.25,ft,A
12/27/2019 5:38,12/27/2019 5:38,0.19,ft,A
12/27/2019 5:08,12/27/2019 5:08,0.19,ft,A
12/27/2019 4:38,12/27/2019 4:38,0.17,ft,A
12/27/2019 4:08,12/27/2019 4:08,0.19,ft,A
12/27/2019 3:38,12/27/2019 3:38,0.16,ft,A
12/27/2019 3:08,12/27/2019 3:08,0.12,ft,A
12/27/2019 2:38,12/27/2019 2:38,0.08,ft,A
12/27/2019 2:08,12/27/2019 2:08,0.11,ft,A
12/27/2019 1:38,12/27/2019 1:38,0.08,ft,A
12/27/2019 1:08,12/27/2019 1:08,0.11,ft,A
12/27/2019 0:38,12/27/2019 0:38,0.09,ft,A
12/27/2019 0:08,12/27/2019 0:08,0.1,ft,A
12/26/2019 23:38,12/26/2019 23:38,0.09,ft,A
12/26/2019 23:08,12/26/2019 23:08,0.11,ft,A
12/26/2019 22:38,12/26/2019 22:38,0.07,ft,A
12/26/2019 22:08,12/26/2019 22:08,0.08,ft,A
12/26/2019 21:38,12/26/2019 21:38,0.1,ft,A
12/26/2019 21:08,12/26/2019 21:08,0.07,ft,A
12/26/2019 20:38,12/26/2019 20:38,0.07,ft,A
12/26/2019 20:08,12/26/2019 20:08,0.11,ft,A
12/26/2019 19:38,12/26/2019 19:38,0.14,ft,A
12/26/2019 19:08,12/26/2019 19:08,0.18,ft,A
12/26/2019 18:38,12/26/2019 18:38,0.17,ft,A
12/26/2019 18:08,12/26/2019 18:08,0.22,ft,A
